"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Joan Darling;Actress, Director, Writer;1935-04-14;USA;NA
Laslo Benedek;Director, Assistant Director, Editor;1905-03-05;Austria-Hungary [now Hungary];1992-03-11
Stefan Ruzowitzky;Director, Writer;1961-12-25;Austria;NA
David M. Evans;Director, Writer, Actor;1962-10-20;USA;NA
Anthony Mann;Director, Writer, Assistant Director;1906-06-30;USA;1967-04-29
Harry Hurwitz;Director, Writer, Producer;1938-01-27;USA;1995-09-21
Gordon Parks;Director, Actor, Writer;1912-11-30;USA;2006-03-07
Nancy Savoca;Director, Writer, Producer;1959-07-23;USA;NA
Jesús Franco;Writer, Director, Actor;1930-05-12;Spain;2013-04-02
Ken Barbet;Director, Producer, Writer;NA;NA;NA
Paolo Taviani;Director, Writer, Assistant Director;1931-11-08;Italy;NA
Vittorio Taviani;Director, Writer, Miscellaneous Crew;1929-09-20;Italy;NA
James B. Clark;Director, Editor, Miscellaneous Crew;1908-05-14;USA;2000-07-19
Ayten Amin;Director, Assistant Director, Writer;NA;NA;NA
Jacques Demy;Director, Writer, Soundtrack;1931-06-05;France;1990-10-27
Patrice Rhomm;Writer, Director, Producer;1931-01-10;France;NA
